Código IBGE,Ente Devedor,Estado,Regime Atual,CAPAG STN,REPASSE ATUAL (%),RCL ANUAL (2024),RCL 1/12,ESTOQUE/RCL EX ANTERIOR (%),REPASSE CONSERVADOR (%),TETO REPASSE CONSERVADOR (R$),"REPASSE COM PEC 66 (%)
 1% A 5%",TETO REPASSE PEC 66 (R$)
4309209,Gravataí,RS,,,,"R$ 1.281.003.612,00",,,,,,
4309258,Guabiju,RS,,,,"R$ 26.577.898,87",,,,,,
4309308,Guaíba,RS,,,,"R$ 637.856.578,10",,,,,,
4309407,Guaporé,RS,,,,"R$ 189.597.371,10",,,,,,
4309506,Guarani das Missões,RS,,,,"R$ 50.317.497,51",,,,,,
4309555,Harmonia,RS,,,,"R$ 56.994.109,10",,,,,,
4307104,Herval,RS,,,,"R$ 48.376.299,93",,,,,,
4309571,Herveiras,RS,,,,"R$ 27.439.525,19",,,,,,
4309605,Horizontina,RS,,,,"R$ 209.083.697,00",,,,,,
4309654,Hulha Negra,RS,,,,"R$ 43.998.754,70",,,,,,
4309704,Humaitá,RS,,,,"R$ 47.746.386,06",,,,,,
4309753,Ibarama,RS,,,,"R$ 36.573.653,25",,,,,,
4309803,Ibiaçá,RS,,,,"R$ 44.311.753,48",,,,,,
4309902,Ibiraiaras,RS,,,,"R$ 57.458.193,22",,,,,,
4309951,Ibirapuitã,RS,,,,"R$ 35.850.715,93",,,,,,
4310009,Ibirubá,RS,,,,"R$ 148.185.238,00",,,,,,
4310108,Igrejinha,RS,,,,"R$ 239.078.954,70",,,,,,
4310207,Ijuí,RS,,,,"R$ 616.807.170,80",,,,,,
4310306,Ilópolis,RS,,,,"R$ 39.702.746,16",,,,,,
4310330,Imbé,RS,,,,"R$ 214.315.700,30",,,,,,
4310363,Imigrante,RS,,,,"R$ 55.657.107,58",,,,,,
4310405,Independência,RS,,,,"R$ 52.015.412,61",,,,,,
4310413,Inhacorá,RS,,,,"R$ 28.903.522,90",,,,,,
4310439,Ipê,RS,,,,"R$ 50.747.960,09",,,,,,
4310462,Ipiranga do Sul,RS,,,,"R$ 29.923.522,57",,,,,,
4310504,Iraí,RS,,,,"R$ 40.492.626,43",,,,,,
4310538,Itaara,RS,,,,"R$ 49.404.448,15",,,,,,
4310553,Itacurubi,RS,,,,"R$ 38.706.999,95",,,,,,
4310579,Itapuca,RS,,,,"R$ 28.950.272,02",,,,,,
4310603,Itaqui,RS,,,,"R$ 218.039.017,10",,,,,,
4310652,Itati,RS,,,,"R$ 32.633.506,69",,,,,,
4310702,Itatiba do Sul,RS,,,,"R$ 38.988.970,46",,,,,,
4310751,Ivorá,RS,,,,"R$ 28.596.281,62",,,,,,
4310801,Ivoti,RS,,,,"R$ 162.594.269,00",,,,,,
4310850,Jaboticaba,RS,,,,"R$ 32.687.780,93",,,,,,
4310876,Jacuizinho,RS,,,,"R$ 37.460.133,66",,,,,,
4310900,Jacutinga,RS,,,,"R$ 41.254.454,62",,,,,,
4311007,Jaguarão,RS,,,,"R$ 157.326.071,30",,,,,,
4311106,Jaguari,RS,,,,"R$ 65.370.263,42",,,,,,
4311122,Jaquirana,RS,,,,"R$ 49.900.442,22",,,,,,
4311130,Jari,RS,,,,"R$ 6.275.538,14",,,,,,
4311155,Jóia,RS,,,,"R$ 68.328.268,01",,,,,,
4311205,Júlio de Castilhos,RS,,,,"R$ 134.802.508,30",,,,,,
4311239,Lagoa Bonita do Sul,RS,,,,"R$ 26.375.502,51",,,,,,
4311304,Lagoa dos Três Cantos,RS,,,,"R$ 32.343.082,00",,,,,,
4311270,Lagoa Vermelha,RS,,,,"R$ 161.923.206,60",,,,,,
4311254,Lagoão,RS,,,,"R$ 39.678.895,58",,,,,,
4311403,Lajeado,RS,,,,"R$ 681.281.284,20",,,,,,
4311429,Lajeado do Bugre,RS,,,,"R$ 27.492.580,54",,,,,,
4311502,Lavras do Sul,RS,,,,"R$ 65.654.540,65",,,,,,
4311601,Liberato Salzano,RS,,,,"R$ 38.507.484,60",,,,,,
4311627,Lindolfo Collor,RS,,,,"R$ 49.122.849,88",,,,,,
4311643,Linha Nova,RS,,,,"R$ 24.415.723,24",,,,,,
4311718,Maçambará,RS,,,,"R$ 44.239.139,87",,,,,,
4311700,Machadinho,RS,,,,"R$ 50.342.198,72",,,,,,
4311734,Mampituba,RS,,,,"R$ 32.482.401,96",,,,,,
4311759,Manoel Viana,RS,,,,"R$ 52.148.764,10",,,,,,
4311775,Maquiné,RS,,,,"R$ 63.427.643,92",,,,,,
4311791,Maratá,RS,,,,"R$ 40.486.468,58",,,,,,
4311809,Marau,RS,,,,"R$ 248.100.093,90",,,,,,
4311908,Marcelino Ramos,RS,,,,"R$ 42.965.099,86",,,,,,
4311981,Mariana Pimentel,RS,,,,"R$ 32.284.577,46",,,,,,
4312005,Mariano Moro,RS,,,,"R$ 31.640.881,24",,,,,,
4312054,Marques de Souza,RS,,,,"R$ 54.859.201,97",,,,,,
4312104,Mata,RS,,,,"R$ 36.252.136,19",,,,,,
4312138,Mato Castelhano,RS,,,,"R$ 31.126.522,40",,,,,,
4312153,Mato Leitão,RS,,,,"R$ 46.297.982,36",,,,,,
4312179,Mato Queimado,RS,,,,"R$ 25.967.731,15",,,,,,
4312203,Maximiliano de Almeida,RS,,,,"R$ 35.457.875,26",,,,,,
4312252,Minas do Leão,RS,,,,"R$ 56.290.928,33",,,,,,
4312302,Miraguaí,RS,,,,"R$ 38.001.672,57",,,,,,
4312351,Montauri,RS,,,,"R$ 26.578.299,23",,,,,,
4312377,Monte Alegre dos Campos,RS,,,,"R$ 34.338.589,84",,,,,,
4312385,Monte Belo do Sul,RS,,,,"R$ 31.543.292,91",,,,,,
4312401,Montenegro,RS,,,,"R$ 457.103.768,10",,,,,,
4312427,Mormaço,RS,,,,"R$ 34.304.541,11",,,,,,
4312443,Morrinhos do Sul,RS,,,,"R$ 35.761.926,02",,,,,,
4312450,Morro Redondo,RS,,,,"R$ 38.533.196,89",,,,,,
4312476,Morro Reuter,RS,,,,"R$ 50.645.749,02",,,,,,
4312500,Mostardas,RS,,,,"R$ 82.456.352,59",,,,,,
4312609,Muçum,RS,,,,"R$ 68.871.245,02",,,,,,
4312617,Muitos Capões,RS,,,,"R$ 48.798.829,89",,,,,,
4312625,Muliterno,RS,,,,"R$ 24.996.868,30",,,,,,
4312658,Não-Me-Toque,RS,,,,"R$ 163.660.162,10",,,,,,
4312674,Nicolau Vergueiro,RS,,,,"R$ 29.650.951,85",,,,,,
4312708,Nonoai,RS,,,,"R$ 88.456.491,02",,,,,,
4312757,Nova Alvorada,RS,,,,"R$ 39.827.998,64",,,,,,
4312807,Nova Araçá,RS,,,,"R$ 50.406.881,78",,,,,,
4312906,Nova Bassano,RS,,,,"R$ 72.277.516,97",,,,,,
4312955,Nova Boa Vista,RS,,,,"R$ 36.292.417,03",,,,,,
4313003,Nova Bréscia,RS,,,,"R$ 50.289.220,50",,,,,,
4313011,Nova Candelária,RS,,,,"R$ 41.362.914,01",,,,,,
4313037,Nova Esperança do Sul,RS,,,,"R$ 39.644.916,28",,,,,,
4313060,Nova Hartz,RS,,,,"R$ 109.117.437,80",,,,,,
4313086,Nova Pádua,RS,,,,"R$ 35.121.531,89",,,,,,
4313102,Nova Palma,RS,,,,"R$ 47.587.283,31",,,,,,
4313201,Nova Petrópolis,RS,,,,"R$ 150.799.515,00",,,,,,
4313300,Nova Prata,RS,,,,"R$ 179.927.762,80",,,,,,
4313334,Nova Ramada,RS,,,,"R$ 38.136.214,90",,,,,,
4313359,Nova Roma do Sul,RS,,,,"R$ 44.754.820,35",,,,,,
4313375,Nova Santa Rita,RS,,,,"R$ 250.420.129,20",,,,,,
4313490,Novo Barreiro,RS,,,,"R$ 39.219.268,82",,,,,,
4313391,Novo Cabrais,RS,,,,"R$ 35.636.216,53",,,,,,
4313409,Novo Hamburgo,RS,,,,"R$ 1.475.060.859,00",,,,,,
4313425,Novo Machado,RS,,,,"R$ 35.050.266,45",,,,,,
4313441,Novo Tiradentes,RS,,,,"R$ 34.102.738,22",,,,,,
4313466,Novo Xingu,RS,,,,"R$ 27.145.970,85",,,,,,
4313508,Osório,RS,,,,"R$ 313.326.071,80",,,,,,
4313607,Paim Filho,RS,,,,"R$ 36.304.520,22",,,,,,
4313656,Palmares do Sul,RS,,,,"R$ 90.372.795,70",,,,,,
4313706,Palmeira das Missões,RS,,,,"R$ 205.439.917,70",,,,,,
4313805,Palmitinho,RS,,,,"R$ 48.544.722,48",,,,,,
4313904,Panambi,RS,,,,"R$ 304.146.260,30",,,,,,
4313953,Pantano Grande,RS,,,,"R$ 76.006.067,79",,,,,,
4314001,Paraí,RS,,,,"R$ 65.854.317,00",,,,,,
4314027,Paraíso do Sul,RS,,,,"R$ 46.426.481,67",,,,,,
4314035,Pareci Novo,RS,,,,"R$ 51.721.143,05",,,,,,
4314050,Parobé,RS,,,,"R$ 254.693.737,30",,,,,,
4314068,Passa Sete,RS,,,,"R$ 38.992.828,09",,,,,,
4314100,Passo do Sobrado,RS,,,,"R$ 46.686.254,29",,,,,,
4314076,Passo Fundo,RS,,,,"R$ 1.080.843.755,00",,,,,,
4314134,Paulo Bento,RS,,,,"R$ 27.887.733,98",,,,,,
4314159,Paverama,RS,,,,"R$ 47.811.555,35",,,,,,
4314175,Pedras Altas,RS,,,,"R$ 43.263.645,76",,,,,,
4314209,Pedro Osório,RS,,,,"R$ 44.591.230,24",,,,,,
4314308,Pejuçara,RS,,,,"R$ 42.701.329,74",,,,,,
4314407,Pelotas,RS,,,,"R$ 1.758.703.945,00",,,,,,
4314423,Picada Café,RS,,,,"R$ 46.773.405,68",,,,,,
4314456,Pinhal,RS,,,,"R$ 44.946.718,84",,,,,,
4314472,Pinhal da Serra,RS,,,,"R$ 40.965.638,03",,,,,,
4314464,Pinhal Grande,RS,,,,"R$ 51.874.224,00",,,,,,
4314498,Pinheirinho do Vale,RS,,,,"R$ 35.862.163,28",,,,,,
4314506,Pinheiro Machado,RS,,,,"R$ 75.838.303,04",,,,,,
4314548,Pinto Bandeira,RS,,,,"R$ 27.725.426,61",,,,,,
4314555,Pirapó,RS,,,,"R$ 29.257.007,64",,,,,,
4314605,Piratini,RS,,,,"R$ 94.582.935,24",,,,,,
4314704,Planalto,RS,,,,"R$ 56.239.999,23",,,,,,
4314753,Poço das Antas,RS,,,,"R$ 29.349.680,02",,,,,,
4314779,Pontão,RS,,,,"R$ 46.614.575,64",,,,,,
4314787,Ponte Preta,RS,,,,"R$ 33.113.506,76",,,,,,
4314803,Portão,RS,,,,"R$ 201.269.529,40",,,,,,
4314902,Porto Alegre,RS,,,,"R$ 10.032.717.784,00",,,,,,
4315008,Porto Lucena,RS,,,,"R$ 33.263.995,14",,,,,,
4315057,Porto Mauá,RS,,,,"R$ 31.874.236,37",,,,,,
4315073,Porto Vera Cruz,RS,,,,"R$ 32.242.783,62",,,,,,
4315107,Porto Xavier,RS,,,,"R$ 68.436.471,87",,,,,,
4315131,Pouso Novo,RS,,,,"R$ 33.722.069,56",,,,,,
4315149,Presidente Lucena,RS,,,,"R$ 39.224.582,31",,,,,,
4315156,Progresso,RS,,,,"R$ 41.924.302,77",,,,,,
4315172,Protásio Alves,RS,,,,"R$ 28.938.213,52",,,,,,
4315206,Putinga,RS,,,,"R$ 44.508.016,94",,,,,,
4315305,Quaraí,RS,,,,"R$ 112.810.052,40",,,,,,
4315313,Quatro Irmãos,RS,,,,"R$ 29.852.556,77",,,,,,
4315321,Quevedos,RS,,,,"R$ 32.472.180,05",,,,,,
4315354,Quinze de Novembro,RS,,,,"R$ 46.663.206,81",,,,,,
4315404,Redentora,RS,,,,"R$ 55.171.097,44",,,,,,
4315453,Relvado,RS,,,,"R$ 36.342.133,77",,,,,,
4315503,Restinga Sêca,RS,,,,"R$ 104.073.534,70",,,,,,
4315602,Rio dos Índios,RS,,,,"R$ 37.510.544,37",,,,,,
4315701,Rio Grande,RS,,,,"R$ 1.210.470.568,00",,,,,,
4315552,Rio Pardo,RS,,,,"R$ 182.644.411,30",,,,,,
4315750,Riozinho,RS,,,,"R$ 46.277.130,30",,,,,,
4315800,Roca Sales,RS,,,,"R$ 94.822.766,91",,,,,,
4315909,Rodeio Bonito,RS,,,,"R$ 53.168.602,14",,,,,,
4315958,Rolador,RS,,,,"R$ 32.606.045,11",,,,,,
4316006,Rolante,RS,,,,"R$ 145.412.788,10",,,,,,
4316105,Ronda Alta,RS,,,,"R$ 65.884.128,37",,,,,,
4316204,Rondinha,RS,,,,"R$ 49.210.175,57",,,,,,
4316303,Roque Gonzales,RS,,,,"R$ 49.765.916,23",,,,,,
4316402,Rosário do Sul,RS,,,,"R$ 165.296.099,60",,,,,,
4316428,Sagrada Família,RS,,,,"R$ 34.317.234,58",,,,,,
4316436,Saldanha Marinho,RS,,,,"R$ 35.821.001,08",,,,,,
4316451,Salto do Jacuí,RS,,,,"R$ 78.271.589,73",,,,,,
4316477,Salvador das Missões,RS,,,,"R$ 36.423.624,24",,,,,,
4316501,Salvador do Sul,RS,,,,"R$ 64.158.646,73",,,,,,
4316600,Sananduva,RS,,,,"R$ 101.571.705,00",,,,,,
4317103,Sant'Ana do Livramento,RS,,,,"R$ 432.599.810,40",,,,,,
4316709,Santa Bárbara do Sul,RS,,,,"R$ 74.684.048,67",,,,,,
4316733,Santa Cecília do Sul,RS,,,,"R$ 29.362.004,17",,,,,,
4316758,Santa Clara do Sul,RS,,,,"R$ 51.591.237,12",,,,,,
4316808,Santa Cruz do Sul,RS,,,,"R$ 855.748.275,10",,,,,,
4316972,Santa Margarida do Sul,RS,,,,"R$ 35.214.942,17",,,,,,
4316907,Santa Maria,RS,,,,"R$ 1.160.085.996,00",,,,,,
4316956,Santa Maria do Herval,RS,,,,"R$ 44.607.047,56",,,,,,
4317202,Santa Rosa,RS,,,,"R$ 576.985.521,40",,,,,,
4317251,Santa Tereza,RS,,,,"R$ 46.545.909,28",,,,,,
4317301,Santa Vitória do Palmar,RS,,,,"R$ 213.734.894,00",,,,,,
4317004,Santana da Boa Vista,RS,,,,"R$ 52.368.883,47",,,,,,
4317400,Santiago,RS,,,,"R$ 237.269.176,70",,,,,,
4317509,Santo Ângelo,RS,,,,"R$ 369.165.421,30",,,,,,
4317608,Santo Antônio da Patrulha,RS,,,,"R$ 231.144.745,80",,,,,,
4317707,Santo Antônio das Missões,RS,,,,"R$ 78.181.120,19",,,,,,
4317558,Santo Antônio do Palma,RS,,,,"R$ 37.434.761,06",,,,,,
4317756,Santo Antônio do Planalto,RS,,,,"R$ 34.621.735,29",,,,,,
4317806,Santo Augusto,RS,,,,"R$ 95.294.293,63",,,,,,
4317905,Santo Cristo,RS,,,,"R$ 96.894.698,34",,,,,,
4317954,Santo Expedito do Sul,RS,,,,"R$ 26.397.671,97",,,,,,
4318002,São Borja,RS,,,,"R$ 358.987.780,20",,,,,,
4318051,São Domingos do Sul,RS,,,,"R$ 28.761.354,61",,,,,,
4318101,São Francisco de Assis,RS,,,,"R$ 105.365.939,40",,,,,,
4318200,São Francisco de Paula,RS,,,,"R$ 154.406.324,40",,,,,,
4318309,São Gabriel,RS,,,,"R$ 307.124.706,90",,,,,,
4318408,São Jerônimo,RS,,,,"R$ 112.080.041,90",,,,,,
4318424,São João da Urtiga,RS,,,,"R$ 36.172.736,71",,,,,,
4318432,São João do Polêsine,RS,,,,"R$ 34.990.846,81",,,,,,
4318440,São Jorge,RS,,,,"R$ 30.933.586,19",,,,,,
4318457,São José das Missões,RS,,,,"R$ 29.078.850,69",,,,,,
4318465,São José do Herval,RS,,,,"R$ 32.867.675,61",,,,,,
4318481,São José do Hortêncio,RS,,,,"R$ 40.400.023,27",,,,,,
4318499,São José do Inhacorá,RS,,,,"R$ 35.060.338,49",,,,,,
4318507,São José do Norte,RS,,,,"R$ 145.572.689,40",,,,,,
4318606,São José do Ouro,RS,,,,"R$ 42.724.722,39",,,,,,
4318614,São José do Sul,RS,,,,"R$ 31.671.041,64",,,,,,
4318622,São José dos Ausentes,RS,,,,"R$ 52.434.731,18",,,,,,
4318705,São Leopoldo,RS,,,,,,,,,,
4318804,São Lourenço do Sul,RS,,,,"R$ 245.762.841,90",,,,,,
4318903,São Luiz Gonzaga,RS,,,,"R$ 190.921.331,70",,,,,,
4319000,São Marcos,RS,,,,"R$ 139.483.589,00",,,,,,
4319109,São Martinho,RS,,,,"R$ 49.405.308,65",,,,,,
4319125,São Martinho da Serra,RS,,,,"R$ 36.564.093,86",,,,,,
4319158,São Miguel das Missões,RS,,,,"R$ 64.296.841,86",,,,,,
4319208,São Nicolau,RS,,,,"R$ 38.758.055,80",,,,,,
4319307,São Paulo das Missões,RS,,,,"R$ 45.181.579,51",,,,,,
4319356,São Pedro da Serra,RS,,,,"R$ 38.657.682,11",,,,,,
4319364,São Pedro das Missões,RS,,,,"R$ 24.622.679,96",,,,,,
4319372,São Pedro do Butiá,RS,,,,"R$ 35.562.209,12",,,,,,
4319406,São Pedro do Sul,RS,,,,"R$ 86.948.346,08",,,,,,
4319505,São Sebastião do Caí,RS,,,,"R$ 162.683.370,90",,,,,,
4319604,São Sepé,RS,,,,"R$ 135.288.764,90",,,,,,
4319703,São Valentim,RS,,,,"R$ 32.709.825,22",,,,,,
4319711,São Valentim do Sul,RS,,,,"R$ 31.702.831,03",,,,,,
4319737,São Valério do Sul,RS,,,,"R$ 29.658.474,04",,,,,,
4319752,São Vendelino,RS,,,,"R$ 51.123.083,07",,,,,,
4319802,São Vicente do Sul,RS,,,,"R$ 66.823.694,77",,,,,,
4319901,Sapiranga,RS,,,,"R$ 452.108.821,70",,,,,,
4320008,Sapucaia do Sul,RS,,,,"R$ 672.017.418,10",,,,,,
4320107,Sarandi,RS,,,,"R$ 151.111.556,40",,,,,,
4320206,Seberi,RS,,,,"R$ 82.173.293,13",,,,,,
4320230,Sede Nova,RS,,,,"R$ 39.680.231,85",,,,,,
4320263,Segredo,RS,,,,"R$ 39.629.256,09",,,,,,
4320305,Selbach,RS,,,,"R$ 47.639.587,06",,,,,,
4320321,Senador Salgado Filho,RS,,,,"R$ 28.564.771,47",,,,,,
4320354,Sentinela do Sul,RS,,,,"R$ 34.643.545,97",,,,,,
4320404,Serafina Corrêa,RS,,,,"R$ 138.200.990,50",,,,,,
4320453,Sério,RS,,,,"R$ 28.235.008,91",,,,,,
4320503,Sertão,RS,,,,"R$ 51.993.130,84",,,,,,
4320552,Sertão Santana,RS,,,,"R$ 43.833.663,36",,,,,,
4320578,Sete de Setembro,RS,,,,"R$ 28.775.651,93",,,,,,
4320602,Severiano de Almeida,RS,,,,"R$ 44.490.928,03",,,,,,
4320651,Silveira Martins,RS,,,,"R$ 32.567.481,01",,,,,,
4320677,Sinimbu,RS,,,,"R$ 65.269.014,75",,,,,,
4320701,Sobradinho,RS,,,,"R$ 89.131.204,57",,,,,,
4320800,Soledade,RS,,,,"R$ 157.876.283,20",,,,,,
4320859,Tabaí,RS,,,,"R$ 35.691.283,32",,,,,,
4320909,Tapejara,RS,,,,"R$ 154.206.842,30",,,,,,
4321006,Tapera,RS,,,,"R$ 69.991.523,10",,,,,,
4321105,Tapes,RS,,,,"R$ 95.244.450,13",,,,,,
4321204,Taquara,RS,,,,"R$ 277.302.064,10",,,,,,
4321303,Taquari,RS,,,,"R$ 151.207.738,00",,,,,,
4321329,Taquaruçu do Sul,RS,,,,"R$ 35.335.340,21",,,,,,
4321352,Tavares,RS,,,,"R$ 38.426.770,55",,,,,,
4321402,Tenente Portela,RS,,,,"R$ 89.957.527,65",,,,,,
4321436,Terra de Areia,RS,,,,"R$ 74.181.449,52",,,,,,
4321451,Teutônia,RS,,,,"R$ 216.638.276,30",,,,,,
4321469,Tio Hugo,RS,,,,"R$ 34.343.214,59",,,,,,
4321477,Tiradentes do Sul,RS,,,,"R$ 37.786.702,53",,,,,,
4321493,Toropi,RS,,,,,,,,,,
4321501,Torres,RS,,,,"R$ 322.455.480,70",,,,,,
4321600,Tramandaí,RS,,,,"R$ 355.633.631,10",,,,,,
4321626,Travesseiro,RS,,,,"R$ 33.434.893,77",,,,,,
4321634,Três Arroios,RS,,,,"R$ 40.769.955,74",,,,,,
4321667,Três Cachoeiras,RS,,,,"R$ 67.120.926,67",,,,,,
4321709,Três Coroas,RS,,,,"R$ 170.565.710,80",,,,,,
4321832,Três de Maio,RS,,,,"R$ 161.403.485,00",,,,,,
4321857,Três Forquilhas,RS,,,,"R$ 34.939.875,90",,,,,,
4321907,Três Palmeiras,RS,,,,"R$ 48.336.013,41",,,,,,
4321808,Três Passos,RS,,,,"R$ 158.046.163,40",,,,,,
4321956,Trindade do Sul,RS,,,,"R$ 58.375.765,22",,,,,,
4322004,Triunfo,RS,,,,"R$ 385.586.304,90",,,,,,
4322103,Tucunduva,RS,,,,"R$ 41.045.328,10",,,,,,
4322152,Tunas,RS,,,,"R$ 33.597.151,87",,,,,,
4322186,Tupanci do Sul,RS,,,,"R$ 24.604.839,25",,,,,,
4322202,Tupanciretã,RS,,,,"R$ 151.782.419,50",,,,,,
4322251,Tupandi,RS,,,,"R$ 62.371.662,26",,,,,,
4322301,Tuparendi,RS,,,,"R$ 53.649.122,60",,,,,,
4322327,Turuçu,RS,,,,"R$ 34.901.713,66",,,,,,
4322343,Ubiretama,RS,,,,"R$ 28.921.712,89",,,,,,
4322350,União da Serra,RS,,,,"R$ 24.814.944,17",,,,,,
4322376,Unistalda,RS,,,,"R$ 27.551.299,69",,,,,,
4322400,Uruguaiana,RS,,,,"R$ 499.918.569,30",,,,,,
4322509,Vacaria,RS,,,,"R$ 364.588.075,00",,,,,,
4322541,Vale do Sol,RS,,,,"R$ 59.636.558,84",,,,,,
4322525,Vale Real,RS,,,,"R$ 46.241.274,84",,,,,,
4322533,Vale Verde,RS,,,,"R$ 39.328.998,04",,,,,,
4322558,Vanini,RS,,,,"R$ 29.042.648,81",,,,,,
4322608,Venâncio Aires,RS,,,,"R$ 433.300.745,70",,,,,,
4322707,Vera Cruz,RS,,,,"R$ 165.497.447,50",,,,,,
4322806,Veranópolis,RS,,,,"R$ 194.633.221,40",,,,,,
4322855,Vespasiano Corrêa,RS,,,,"R$ 33.501.357,27",,,,,,
4322905,Viadutos,RS,,,,"R$ 40.212.232,37",,,,,,
4323002,Viamão,RS,,,,"R$ 816.246.727,70",,,,,,
4323101,Vicente Dutra,RS,,,,"R$ 33.597.907,80",,,,,,
4323200,Victor Graeff,RS,,,,"R$ 42.585.157,94",,,,,,
4323309,Vila Flores,RS,,,,"R$ 48.294.674,21",,,,,,
4323358,Vila Lângaro,RS,,,,"R$ 38.191.887,73",,,,,,
4323408,Vila Maria,RS,,,,"R$ 51.329.271,00",,,,,,
4323457,Vila Nova do Sul,RS,,,,"R$ 37.367.897,43",,,,,,
4323507,Vista Alegre,RS,,,,"R$ 31.271.091,37",,,,,,
4323606,Vista Alegre do Prata,RS,,,,"R$ 30.415.307,72",,,,,,
4323705,Vista Gaúcha,RS,,,,"R$ 37.410.946,30",,,,,,
4323754,Vitória das Missões,RS,,,,"R$ 36.499.727,58",,,,,,
4323770,Westfália,RS,,,,"R$ 44.577.011,20",,,,,,
4323804,Xangri-lá,RS,,,,"R$ 311.685.810,60",,,,,,
